"mediaId","path"
"0","Medien/Bilder/010001_Frage_Bild.jpg"
"1","Medien/Bilder/010002_Frage_Bild.jpg"
"2","Medien/Bilder/010003_Frage_Bild.jpg"
"3","Medien/Bilder/010004_Frage_Bild.jpg"
"4","Medien/Bilder/010005_Frage_Bild.jpg"
"5","Medien/Bilder/010006_Frage_Bild.jpg"
"6","Medien/Bilder/010007_Frage_Bild.jpg"
"7","Medien/Bilder/010009_Frage_Bild.jpg"
"8","Medien/Bilder/010010_Frage_Bild.jpg"
"9","Medien/Bilder/010011_Frage_Bild.jpg"
"10","Medien/Bilder/010012_Frage_Bild.jpg"
"11","Medien/Bilder/010013_Frage_Bild.jpg"
"12","Medien/Bilder/010014_Frage_Bild.jpg"
"13","Medien/Bilder/010015_Frage_Bild.jpg"
"14","Medien/Bilder/010015_Loesung_Bild.gif"
"15","Medien/Bilder/010016_Frage_Bild.jpg"
"16","Medien/Bilder/010016_Loesung_Bild.gif"
"17","Medien/Bilder/010017_Frage_Bild.jpg"
"18","Medien/Bilder/010018_Frage_Bild.gif"
"19","Medien/Bilder/010018_Loesung_Bild.jpg"
"20","Medien/Bilder/010019_Frage_Bild.gif"
"21","Medien/Bilder/010020_Frage_Bild.jpg"
"22","Medien/Bilder/010021_Frage_Bild.gif"
"23","Medien/Bilder/010022_Frage_Bild.jpg"
"24","Medien/Bilder/010023_Frage_Bild.gif"
"25","Medien/Bilder/010023_Loesung_Bild.gif"
"26","Medien/Bilder/010024_Frage_Bild.jpg"
"27","Medien/Bilder/010024_Loesung_Bild.jpg"
"28","Medien/Bilder/010026_Frage_Bild.jpg"
"29","Medien/Bilder/010027_Frage_Bild.jpg"
"30","Medien/Bilder/010028_Frage_Bild.jpg"
"31","Medien/Bilder/010025_Frage_Bild.jpg"
"32","Medien/Bilder/010030_Frage_Bild.jpg"
"33","Medien/Bilder/010029_Frage_Bild.jpg"
"34","Medien/Bilder/010031_Frage_Bild.gif"
"35","Medien/Bilder/010032_Frage_Bild.gif"
"36","Medien/Bilder/010033_Frage_Bild.jpg"
"37","Medien/Bilder/010034_Frage_Bild.jpg"
"38","Medien/Bilder/010035_Frage_Bild.jpg"
"39","Medien/Bilder/010036_Frage_Bild.jpg"
"40","Medien/Bilder/010037_Frage_Bild.jpg"
"41","Medien/Bilder/010038_Frage_Bild.jpg"
"42","Medien/Bilder/010039_Frage_Bild.jpg"
"43","Medien/Bilder/010040_Frage_Bild.jpg"
"44","Medien/Bilder/010040_Loesung_Bild.jpg"
"45","Medien/Bilder/010041_Frage_Bild.jpg"
"46","Medien/Bilder/010042_Frage_Bild.jpg"
"47","Medien/Bilder/010043_Frage_Bild.jpg"
"48","Medien/Bilder/010043_Loesung_Bild.jpg"
"49","Medien/Bilder/010044_Frage_Bild.jpg"
"50","Medien/Bilder/010045_Frage_Bild.jpg"
"51","Medien/Bilder/010046_Frage_Bild.jpg"
"52","Medien/Bilder/010047_Frage_Bild.jpg"
"53","Medien/Bilder/010048_Frage_Bild.jpg"
"54","Medien/Bilder/010048_Loesung_Bild.gif"
"55","Medien/Bilder/010049_Frage_Bild.jpg"
"56","Medien/Bilder/010050_Frage_Bild.jpg"
"57","Medien/Bilder/010051_Frage_Bild.jpg"
"58","Medien/Bilder/010051_Loesung_Bild.jpg"
"59","Medien/Bilder/010052_Frage_Bild.jpg"
"60","Medien/Bilder/010053_Frage_Bild.jpg"
"61","Medien/Bilder/010053_Loesung_Bild.jpg"
"62","Medien/Bilder/010054_Frage_Bild.jpg"
"63","Medien/Bilder/010054_Loesung_Bild.jpg"
"64","Medien/Bilder/010055_Frage_Bild.jpg"
"65","Medien/Bilder/010055_Loesung_Bild.jpg"
"66","Medien/Bilder/010056_Frage_Bild.jpg"
"67","Medien/Bilder/010057_Frage_Bild.jpg"
"68","Medien/Bilder/010064_Frage_Bild.jpg"
"69","Medien/Bilder/010066_Frage_Bild.jpg"
"70","Medien/Bilder/010066_Loesung_Bild.jpg"
"71","Medien/Bilder/010067_Frage_Bild.jpg"
"72","Medien/Bilder/010072_Frage_Bild.jpg"
"73","Medien/Bilder/010072_Loesung_Bild.jpg"
"74","Medien/Bilder/010073_Frage_Bild.jpg"
"75","Medien/Bilder/010073_Loesung_Bild.jpg"
"76","Medien/Bilder/010076_Frage_Bild.jpg"
"77","Medien/Bilder/010077_Frage_Bild.gif"
"78","Medien/Bilder/010078_Frage_Bild.jpg"
"79","Medien/Bilder/010079_Frage_Bild.jpg"
"80","Medien/Bilder/010080_Frage_Bild.jpg"
"81","Medien/Bilder/010081_Frage_Bild.gif"
"82","Medien/Bilder/010082_Frage_Bild.jpg"
"83","Medien/Bilder/010083_Frage_Bild.jpg"
"84","Medien/Bilder/010084_Frage_Bild.jpg"
